PERFIL CS,Massa Linear (Kg/m),Área(cm²),d (Altura do perfil mm),tw Espessura da Alma (mm),h (Distância entre mesas mm),tf Espessura da Mesa (mm),d' (Altura Livre da Alma-mm),bf (mm),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Cw (cm⁶),Esbeltez da Alma (d'/tw),Esbeltez da Mesa (bf/2tf), d/af (cm-1), ec (mm),u (Área de pintura - m²/m), u/A (m-1)
CS 150x25,"25,4","32,4",150,"6,3",134,8,134,150,1337,178,"6,42",199,450,60,"3,73",91,"4,1",6,22685,21,"9,4","1,25",5,"0,89",275
CS 150x29,"28,9","36,8",150,"6,3",131,"9,5",131,150,1527,204,"6,44",227,535,71,"3,81",108,"4,14",10,26372,21,"7,9","1,053",5,"0,89",242
CS 150x31,"30,6",39,150,8,131,"9,5",131,150,1559,208,"6,32",235,535,71,"3,7",109,"4,09",11,26372,16,"7,9","1,053",5,"0,88",226
CS 150x37,"37,3","47,5",150,8,125,"12,5",125,150,1908,254,"6,34",289,704,94,"3,85",143,"4,15",22,33234,16,6,"0,8",5,"0,88",185
CS 150x45,"45,1","57,4",150,8,118,16,118,150,2274,303,"6,29",349,901,120,"3,96",182,"4,2",43,40401,15,"4,7","0,625",6,"0,88",153
CS 200x29,29,37,200,"6,3",187,"6,3",187,200,2778,278,"8,66",299,840,84,"4,76",128,"5,37",5,78791,30,"15,9","1,587",3,"1,19",322
CS 200x34,"34,2","43,6",200,"6,3",184,8,184,200,3278,328,"8,67",361,1067,107,"4,95",162,"5,45",8,98304,29,"12,5","1,25",5,"1,19",273
CS 200x39,"38,8","49,4",200,"6,3",181,"9,5",181,200,3762,376,"8,73",414,1267,127,"5,06",192,"5,51",13,114919,29,"10,5","1,053",5,"1,19",241
CS 200x41,"41,2","52,5",200,8,181,"9,5",181,200,3846,385,"8,56",427,1267,127,"4,91",193,"5,44",15,114919,23,"10,5","1,053",5,"1,18",225
CS 200x50,"50,2",64,200,8,175,"12,5",175,200,4758,476,"8,62",530,1667,167,"5,1",253,"5,52",29,146484,22,8,"0,8",5,"1,18",184
CS 200x61,"60,8","77,4",200,8,168,16,168,200,5747,575,"8,62",645,2134,213,"5,25",323,"5,58",58,180565,21,"6,3","0,625",6,"1,18",152
CS 250x43,"42,9","54,7",250,"6,3",234,8,234,250,6531,522,"10,93",570,2084,167,"6,17",252,"6,81",11,305021,37,"15,6","1,25",5,"1,49",272
CS 250x49,"48,7","62,1",250,"6,3",231,"9,5",231,250,7519,602,11,655,2474,198,"6,31",299,"6,87",16,357736,37,"13,2","1,053",5,"1,49",240
CS 250x52,"51,8",66,250,8,231,"9,5",231,250,7694,616,"10,8",678,2475,198,"6,12",301,"6,79",18,357736,29,"13,2","1,053",5,"1,48",224
CS 250x63,"63,2","80,5",250,8,225,"12,5",225,250,9581,766,"10,91",843,3256,260,"6,36",394,"6,89",37,459035,28,10,"0,8",5,"1,48",184
CS 250x66,"65,9","83,9",250,"9,5",225,"12,5",225,250,9723,778,"10,77",862,3257,261,"6,23",396,"6,84",39,459035,24,10,"0,8",5,"1,48",176
CS 250x76,"76,5","97,4",250,8,218,16,218,250,11659,933,"10,94",1031,4168,333,"6,54",503,"6,97",72,570375,27,"7,8","0,625",6,"1,48",152
CS 250x79,79,"100,7",250,"9,5",218,16,218,250,11788,943,"10,82",1049,4168,333,"6,43",505,"6,92",75,570375,23,"7,8","0,625",6,"1,48",147
CS 250x84,"84,2","107,3",250,"12,5",218,16,218,250,12047,964,"10,6",1085,4170,334,"6,23",509,"6,84",84,570375,17,"7,8","0,625",6,"1,48",138
CS 250x90,"90,4","115,1",250,"9,5",212,19,212,250,13456,1076,"10,81",1204,4949,396,"6,56",599,"6,98",121,660064,22,"6,6","0,526",6,"1,48",129
CS 250x95,"95,4","121,5",250,"12,5",212,19,212,250,13694,1096,"10,62",1238,4951,396,"6,38",602,"6,9",129,660064,17,"6,6","0,526",6,"1,48",122
CS 250x108,108,"137,6",250,"12,5",205,"22,4",205,250,15501,1240,"10,61",1406,5837,467,"6,51",708,"6,96",202,755442,16,"5,6","0,446",8,"1,48",108
CS 300x62,"62,4","79,5",300,8,281,"9,5",281,300,13509,901,"13,04",986,4276,285,"7,33",432,"8,14",22,901921,35,"15,8","1,053",5,"1,78",224
CS 300x76,"76,1",97,300,8,275,"12,5",275,300,16894,1126,"13,2",1229,5626,375,"7,62",567,"8,27",44,1162354,34,12,"0,8",5,"1,78",184
CS 300x92,"92,2","117,4",300,8,268,16,268,300,20661,1377,"13,27",1507,7201,480,"7,83",724,"8,36",87,1451808,34,"9,4","0,625",6,"1,78",152
CS 300x95,"95,4","121,5",300,"9,5",268,16,268,300,20902,1393,"13,12",1534,7202,480,"7,7",726,"8,3",90,1451808,28,"9,4","0,625",6,"1,78",147
CS 300x102,"101,7","129,5",300,"12,5",268,16,268,300,21383,1426,"12,85",1588,7204,480,"7,46",730,"8,2",100,1451808,21,"9,4","0,625",6,"1,78",137
CS 300x109,109,"138,9",300,"9,5",262,19,262,300,23962,1597,"13,13",1765,8552,570,"7,85",861,"8,36",145,1687791,28,"7,9","0,526",6,"1,78",128
CS 300x115,"115,2","146,8",300,"12,5",262,19,262,300,24412,1627,"12,9",1816,8554,570,"7,63",865,"8,27",156,1687791,21,"7,9","0,526",6,"1,78",121
CS 300x122,"122,4","155,9",300,16,262,19,262,300,24936,1662,"12,65",1876,8559,571,"7,41",872,"8,18",176,1687791,16,"7,9","0,526",6,"1,77",114
CS 300x131,"130,5","166,3",300,"12,5",255,"22,4",255,300,27774,1852,"12,92",2069,10084,672,"7,79",1018,"8,34",243,1941956,20,"6,7","0,446",8,"1,78",107
CS 300x138,"137,5","175,2",300,16,255,"22,4",255,300,28257,1884,"12,7",2126,10089,673,"7,59",1024,"8,25",263,1941956,16,"6,7","0,446",8,"1,77",101
CS 300x149,"149,2",190,300,16,250,25,250,300,30521,2035,"12,67",2313,11259,751,"7,7",1141,"8,3",350,2126953,16,6,"0,4",8,"1,77",93
CS 500x172,"171,5","218,5",500,"12,5",468,16,468,500,104414,4177,"21,86",4556,33341,1334,"12,35",2018,"13,63",168,19521333,37,"15,6","0,625",6,"2,98",136
CS 500x195,"194,5","247,8",500,"12,5",462,19,462,500,120226,4809,"22,03",5237,39591,1584,"12,64",2393,"13,75",260,22895099,37,"13,2","0,526",6,"2,98",120
CS 500x207,"207,2","263,9",500,16,462,19,462,500,123102,4924,"21,6",5423,39599,1584,"12,25",2405,"13,58",294,22895099,29,"13,2","0,526",6,"2,97",113
CS 500x221,"220,5","280,9",500,"12,5",455,"22,4",455,500,138161,5526,"22,18",5996,46674,1867,"12,89",2818,"13,86",406,26611872,36,"11,2","0,446",8,"2,98",106
CS 500x233,233,"296,8",500,16,455,"22,4",455,500,140908,5636,"21,79",6177,46682,1867,"12,54",2829,"13,71",440,26611872,28,"11,2","0,446",8,"2,97",100
CS 500x253,"252,8",322,500,16,450,25,450,500,153296,6132,"21,82",6748,52099,2084,"12,72",3154,"13,79",586,29378255,28,10,"0,4",8,"2,97",92
CS 500x263,"263,4","335,5",500,19,450,25,450,500,155574,6223,"21,53",6899,52109,2084,"12,46",3166,"13,68",629,29378255,24,10,"0,4",8,"2,96",88
CS 500x312,"312,4",398,500,19,437,"31,5",437,500,186324,7453,"21,64",8286,65650,2626,"12,84",3977,"13,84",1149,36010447,23,"7,9","0,317",8,"2,96",74
CS 500x324,"324,1","412,9",500,"22,4",437,"31,5",437,500,188689,7548,"21,38",8448,65666,2627,"12,61",3992,"13,74",1217,36010447,20,"7,9","0,317",8,"2,96",72
CS 500x333,"333,1","424,3",500,25,437,"31,5",437,500,190497,7620,"21,19",8572,65682,2627,"12,44",4006,"13,67",1286,36010447,17,"7,9","0,317",8,"2,95",70
CS 500x369,"369,1","470,2",500,"22,4",425,"37,5",425,500,215306,8612,"21,4",9683,78165,3127,"12,89",4741,"13,86",1931,41778564,19,"6,7","0,267",8,"2,96",63
CS 500x378,"377,8","481,3",500,25,425,"37,5",425,500,216969,8679,"21,23",9801,78180,3127,"12,75",4754,"13,8",1999,41778564,17,"6,7","0,267",8,"2,95",61
CS 550x228,"228,4","290,9",550,16,512,19,512,550,165283,6010,"23,84",6598,52703,1916,"13,46",2907,"14,93",324,37138082,32,"14,5","0,526",6,"3,27",112
CS 550x257,"256,9","327,2",550,16,505,"22,4",505,550,189447,6889,"24,06",7520,62131,2259,"13,78",3420,"15,08",484,43224942,32,"12,3","0,446",8,"3,27",100
CS 550x269,"268,8","342,4",550,19,505,"22,4",505,550,192667,7006,"23,72",7711,62142,2260,"13,47",3434,"14,94",533,43224942,27,"12,3","0,446",8,"3,26",95
CS 550x279,"278,7",355,550,16,500,25,500,550,206302,7502,"24,11",8219,69340,2521,"13,98",3813,"15,16",645,47767822,31,11,"0,4",8,"3,27",92
CS 550x290,"290,5",370,550,19,500,25,500,550,209427,7616,"23,79",8406,69351,2522,"13,69",3826,"15,04",693,47767822,26,11,"0,4",8,"3,26",88
CS 550x345,"344,6",439,550,19,487,"31,5",487,550,251459,9144,"23,93",10110,87375,3177,"14,11",4808,"15,22",1265,58706326,26,"8,7","0,317",8,"3,26",74
CS 550x358,"357,6","455,6",550,"22,4",487,"31,5",487,550,254731,9263,"23,65",10311,87392,3178,"13,85",4825,"15,11",1340,58706326,22,"8,7","0,317",8,"3,26",72
CS 550x368,"367,6","468,3",550,25,487,"31,5",487,550,257234,9354,"23,44",10465,87410,3179,"13,66",4840,"15,02",1416,58706326,19,"8,7","0,317",8,"3,25",69
CS 550x395,"394,7","502,8",550,19,475,"37,5",475,550,288317,10484,"23,95",11642,104012,3782,"14,38",5715,"15,33",2051,68280365,25,"7,3","0,267",8,"3,26",65
CS 550x407,"407,3","518,9",550,"22,4",475,"37,5",475,550,291353,10595,"23,7",11834,104029,3783,"14,16",5731,"15,24",2126,68280365,21,"7,3","0,267",8,"3,26",63
CS 550x417,"417,1","531,3",550,25,475,"37,5",475,550,293675,10679,"23,51",11980,104046,3783,"13,99",5746,"15,17",2201,68280365,19,"7,3","0,267",8,"3,25",61
CS 550x441,"441,2","562,1",550,"31,5",475,"37,5",475,550,299480,10890,"23,08",12347,104108,3786,"13,61",5790,15,2468,68280365,15,"7,3","0,267",8,"3,24",58
CS 550x498,"498,2","634,7",550,"31,5",461,"44,5",461,550,339231,12336,"23,12",14046,123515,4491,"13,95",6845,"15,15",3758,78827755,15,"6,2","0,225",8,"3,24",51
CS 600x250,"249,6","317,9",600,16,562,19,562,600,216146,7205,"26,08",7887,68419,2281,"14,67",3456,"16,28",354,57722931,35,"15,8","0,526",6,"3,57",112
CS 600x281,"280,7","357,6",600,16,555,"22,4",555,600,248024,8267,"26,34",8995,80659,2689,"15,02",4068,"16,44",528,67258147,35,"13,4","0,446",8,"3,57",100
CS 600x294,"293,8","374,3",600,19,555,"22,4",555,600,252298,8410,"25,96",9226,80672,2689,"14,68",4082,"16,29",582,67258147,29,"13,4","0,446",8,"3,56",95
CS 600x305,"304,6",388,600,16,550,25,550,600,270308,9010,"26,39",9835,90019,3001,"15,23",4535,"16,53",704,74390625,34,12,"0,4",8,"3,57",92
CS 600x318,"317,5","404,5",600,19,550,25,550,600,274468,9149,"26,05",10062,90031,3001,"14,92",4550,"16,4",757,74390625,29,12,"0,4",8,"3,56",88
CS 600x332,"332,2","423,2",600,"22,4",550,25,550,600,279182,9306,"25,68",10319,90052,3002,"14,59",4569,"16,25",840,74390625,25,12,"0,4",8,"3,56",84
CS 600x377,"376,8",480,600,19,537,"31,5",537,600,330248,11008,"26,23",12114,113431,3781,"15,37",5718,"16,59",1380,91625003,28,"9,5","0,317",8,"3,56",74
